location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
BUTNER,GRANVILLE,US,o3,0.051,2020-04-07 19:00:00 UTC,ppm,AirNow,36.14111,-78.76805999999999,1.0
Yukon,Oklahoma City,US,o3,0.042,2020-04-07 20:00:00 UTC,ppm,AirNow,35.4794,-97.7508,1.0
Hagerstown,Hagerstown-Martinsburg,US,pm25,5.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,39.5656,-77.7219,1.0
Ilidža,Sarajevo,BA,so2,11.0,2018-10-13 21:00:00 UTC,µg/m³,Bosnia2,43.83,18.311,1.0
Guanyin,North,TW,no2,0.005,2020-04-07 21:00:00 UTC,ppm,Taiwan,25.035503,121.08276000000001,1.0
Estación Teódula,GUANAJUATO,MX,o3,0.059000000000000004,2020-04-07 20:00:00 UTC,ppm,AirNow,20.65794,-101.34915,1.0
Guting,臺北市,TW,o3,0.023,2020-04-07 21:00:00 UTC,ppm,Taiwan,25.020609,121.52956,1.0
AAQMS Karve Road Pune,Pune,IN,co,1220.0,2018-02-22 03:00:00 UTC,µg/m³,CPCB,18.497484,73.81349,0.25
London N. Kensington,London,GB,o3,79.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.52105,-0.21349200000000002,8.0
תחנה:יזרעאליה,חיפה וקריות,IL,o3,0.0091,2019-04-03 21:00:00 UTC,ppm,Israel,32.789809999999996,35.00926,0.25
Huainan Jiao Gang Hu Feng Jing Qu Guan Li Chu,Huainan,CN,pm10,58.0,2018-10-13 21:00:00 UTC,µg/m³,Huainan,32.625,116.7039,1.0
Lake Sugema,VAN BUREN,US,o3,0.035,2020-04-07 20:00:00 UTC,ppm,AirNow,40.6933,-92.0061,1.0
תחנה:כרמליה,חיפה וקריות,IL,so2,0.0018,2019-04-03 21:00:00 UTC,ppm,Israel,32.79695,34.97059,0.25
MUNRO STREET,HILLSBOROUGH,US,co,0.35,2020-04-02 13:00:00 UTC,ppm,AirNow,27.955133,-82.46953,1.0
"Shastri Nagar, Jaipur - RSPCB",Shastri Nagar,IN,pm10,88.3,2020-04-07 08:00:00 UTC,µg/m³,caaqm,26.950293,75.73094,0.25
DCNearRoad,Washington-Arlington-Alexandria,US,no2,0.011000000000000001,2020-04-07 20:00:00 UTC,ppm,AirNow,38.89475,-76.95343000000001,1.0
Ramapo,New York-Northern New Jersey-Long Island,US,o3,0.055,2020-04-07 19:00:00 UTC,ppm,AirNow,41.058617,-74.25555,1.0
MOUNDSVILLE,Wheeling,US,pm25,5.7,2018-08-16 01:00:00 UTC,µg/m³,AirNow,39.9158,-80.7342,1.0
Milas Hayıtlı,Muğla,TR,co,8238.0,2016-12-12 06:00:00 UTC,µg/m³,Turkey,37.311209999999996,27.782932000000002,1.0
Zeppelinfjellet,Zeppelinfjellet,NO,o3,62.6,2020-04-07 20:00:00 UTC,µg/m³,Norway,78.90669,11.88899,1.0
Canton DRR,HAYWOOD,US,so2,0.0,2020-04-07 19:00:00 UTC,ppm,AirNow,35.534,-82.853,1.0
Paul Meyer,Las Vegas-Paradise,US,pm10,6.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,36.106388,-115.25333400000001,1.0
"Rybnik, ul. Borki 37 d",Rybnik,PL,bc,1.64288,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.11118,18.516138,
Konarskiego,Siedlce,PL,so2,5.1,2017-01-03 09:00:00 UTC,µg/m³,Poland,52.172035,22.272778,1.0
Grants Pass - Parksi,Grants Pass,US,pm25,2.8,2020-04-07 20:00:00 UTC,µg/m³,AirNow,42.43415,-123.34846499999999,1.0
Bory Tucholskie,Zielonka,PL,o3,67.0,2020-04-07 21:00:00 UTC,µg/m³,GIOS,53.662117,17.934017,
Zgierz-Śródmieście,Zgierz,PL,o3,4.9,2020-04-07 20:00:00 UTC,µg/m³,GIOS,51.856693,19.421229999999998,
Lepanto,Cordoba,ES,so2,4.0,2018-10-12 22:00:00 UTC,µg/m³,Andalucia,37.89261,-4.762338,24.0
Yilan,Yilan,TW,pm25,7.0,2020-04-07 21:00:00 UTC,µg/m³,Taiwan,24.747917,121.74638999999999,1.0
Drenas,Drenas,XK,co,201.0,2020-04-07 21:00:00 UTC,µg/m³,Kosovo,42.62557,20.89621,1.0
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,co,0.36,2020-03-22 01:00:00 UTC,ppm,Thailand,14.349367,100.568535,1.0
Armagh Roadside,Armagh,GB,pm10,30.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,54.353730000000006,-6.654558,24.0
Colorado College,Colorado Springs,US,pm25,2.4,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.848,-104.8286,1.0
WHEELING,Wheeling,US,o3,0.037000000000000005,2020-04-07 20:00:00 UTC,ppm,AirNow,40.1147,-80.7008,1.0
Yatağan,Muğla,TR,pm10,58.0,2018-04-30 13:00:00 UTC,µg/m³,Turkey,37.341343,28.134323,1.0
Howland Ameriflux,PENOBSCOT,US,o3,0.040999999999999995,2019-04-30 13:00:00 UTC,ppm,AirNow,45.203964,-68.74004000000001,1.0
Houston Westhollow C410,Houston,US,o3,0.048,2016-03-06 18:00:00 UTC,ppm,Texas,29.723333,-95.63583,1.0
Ladue,St. Louis,US,pm25,9.1,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.650257,-90.350464,1.0
LAWRENCE,Lawrenceburg,US,pm25,5.0,2019-01-11 14:00:00 UTC,µg/m³,AirNow,35.1158,-87.47,1.0
"NISE Gwal Pahari, Gurugram - IMD",Gurugram,IN,no2,6.75,2020-04-07 11:00:00 UTC,µg/m³,caaqm,28.422682000000002,77.14894,0.25
McMillan NCORE,WASHINGTON,US,pm10,14.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,38.92185,-77.013176,1.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",CAAQMS-Maharashtra Pollution Control Board,IN,co,250.0,2020-04-07 18:00:00 UTC,µg/m³,caaqm,19.10078,72.87462,0.25
West Phoenix,Phoenix-Mesa-Scottsdale,US,o3,0.046,2020-04-07 19:00:00 UTC,ppm,AirNow,33.4838,-112.1426,1.0
"Ustroń, ul. Sanatoryjna 7",Ustroń,PL,o3,69.2876,2020-04-07 21:00:00 UTC,µg/m³,GIOS,49.71973,18.826721,
"Kurla, Mumbai - MPCB",Kurla,IN,so2,0.0,2020-04-07 18:00:00 UTC,µg/m³,caaqm,19.0863,72.8888,0.25
תחנה:א.א.פחם,צפון הנגב,IL,no2,0.0267,2019-04-03 21:00:00 UTC,ppm,Israel,31.145020000000002,34.82837,0.25
Park Place C416,Houston,US,so2,-0.0002,2016-03-06 19:00:00 UTC,ppm,Texas,29.686390000000003,-95.29472,1.0
Bahabey,Çorum,TR,pm10,71.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,40.546555,34.9673,1.0
Pilot Point C1032,Dallas-Fort Worth-Arlington,US,o3,0.053,2020-04-07 20:00:00 UTC,ppm,AirNow,33.4107,-96.9437,1.0
ES1835A,Almería,ES,no2,4.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,36.95,-1.96148,1.0
Doboj,Kakanj,BA,no2,12.0,2018-10-13 21:00:00 UTC,µg/m³,Bosnia2,44.11600000000001,18.113,1.0
Edinburgh St Leonards,Edinburgh,GB,pm25,6.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,55.945586999999996,-3.182186,24.0
"Bapuji Nagar, Bengaluru - KSPCB",Bengaluru,IN,no2,6.7,2020-04-07 21:00:00 UTC,µg/m³,caaqm,12.951913000000001,77.53979,0.25
"New Industrial Town, Faridabad - HSPCB",Faridabad,IN,so2,1.84,2020-04-02 06:15:00 UTC,µg/m³,caaqm,28.39072,77.30059,0.25
"Kacheripady, Ernakulam - Kerala PCB",Ernakulam,IN,so2,3.43,2020-04-07 18:45:00 UTC,µg/m³,caaqm,9.985653,76.28134,0.25
Phoenix JLG Supersit,Phoenix-Mesa-Scottsdale,US,no2,0.002,2020-04-07 20:00:00 UTC,ppm,AirNow,33.5036,-112.095,1.0
Linville Falls,AVERY,US,o3,0.045,2020-04-07 19:00:00 UTC,ppm,AirNow,35.972347,-81.933075,1.0
Wuhu Jian Ce Zhan,Wuhu,CN,o3,41.0,2018-10-13 21:00:00 UTC,µg/m³,Wuhu,31.3508,118.3528,1.0
Koszalin_ArmiiKrajowej,Koszalin,PL,no2,48.028999999999996,2020-04-07 21:00:00 UTC,µg/m³,GIOS,54.193985,16.172544,
"Sateng, Mueang",Yala,TH,so2,0.038,2019-08-02 01:00:00 UTC,ppm,Thailand,6.549994,101.28,1.0
ES1750A,Málaga,ES,so2,1.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,36.719640000000005,-4.4475,1.0
Spanish Springs,Reno-Sparks,US,pm25,5.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,39.621464,-119.71873500000001,1.0
"Zabrze, ul. M. Curie-Skłodowskiej 34",Zabrze,PL,o3,51.31,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.3165,18.772375,
Springville,TULARE,US,pm25,0.0,2020-01-31 22:00:00 UTC,µg/m³,AirNow,36.1358,-118.8108,1.0
Kannik,Stavanger,NO,pm25,9.4,2020-04-07 20:00:00 UTC,µg/m³,Norway,58.96415,5.72785,1.0
ES1569A,Murcia,ES,no2,4.0,2020-04-06 14:00:00 UTC,µg/m³,EEA Spain,37.68889,-1.7011111,1.0
KSPORT,Kingsport-Bristol-Bristol,US,o3,0.048,2020-04-07 19:00:00 UTC,ppm,AirNow,36.5819,-82.4858,1.0
Fernley,LYON,US,o3,0.043,2020-04-07 19:00:00 UTC,ppm,AirNow,39.602737,-119.247856,1.0
Chippewa Lake,Cleveland-Elyria-Mentor,US,pm25,4.7,2020-04-07 18:00:00 UTC,µg/m³,AirNow,41.0604,-81.9239,1.0
SAN BORJA,Lima,PE,so2,5.24,2020-03-07 22:00:00 UTC,µg/m³,Senamhi,-12.108628,-77.00777,1.0
תחנה:פ.חנה,מישור החוף הדרומי,IL,o3,0.0359,2019-04-03 21:00:00 UTC,ppm,Israel,31.826520000000002,34.68428,0.25
"Loni, Ghaziabad - UPPCB",Loni Dehat,IN,no2,10.0,2020-04-07 19:00:00 UTC,µg/m³,caaqm,28.757294,77.27879,0.25
Kelowna College,BRITISH COLUMBIA,CA,pm25,5.5,2020-04-07 19:00:00 UTC,µg/m³,AirNow,49.8611,-119.475,1.0
תחנה:אתר השמן,חיפה וקריות,IL,o3,0.023,2019-04-03 21:00:00 UTC,ppm,Israel,32.811479999999996,35.1123,0.25
New Albany,Louisville,US,pm25,15.4,2020-04-07 11:00:00 UTC,µg/m³,AirNow,38.3081,-85.8342,1.0
"General Hospital, Mandikhera - HSPCB",Al Afiya General Hospital,IN,so2,17.35,2020-04-07 19:00:00 UTC,µg/m³,caaqm,27.9002,76.9938,0.25
Villa Ada,Roma,IT,pm25,14.0,2020-04-03 22:00:00 UTC,µg/m³,ARPALAZIO,41.932873,12.506971,24.0
Aéroport de Montréal,,CA,pm25,2.8,2020-04-07 20:00:00 UTC,µg/m³,AirNow,45.468296,-73.74119,1.0
Piney Run,GARRETT,US,co,0.1,2020-04-07 20:00:00 UTC,ppm,AirNow,39.7058,-79.0119,1.0
"Kraków, Aleja Krasińskiego",Kraków,PL,bc,0.79082,2020-04-07 20:00:00 UTC,µg/m³,GIOS,50.05768,19.92619,
Near Road,BROWARD,US,no2,0.013999999999999999,2020-04-07 20:00:00 UTC,ppm,AirNow,26.131256,-80.16785,1.0
Chandrapur,Chandrapur,IN,pm25,91.0,2018-02-22 04:00:00 UTC,µg/m³,CPCB,19.95,79.3,0.25
PECK,Wichita,US,o3,0.038,2020-04-07 20:00:00 UTC,ppm,AirNow,37.4769,-97.3664,1.0
תחנה:בת הדר,שפלה פנימית,IL,so2,0.0034,2019-04-03 21:00:00 UTC,ppm,Israel,31.9346,34.90809,0.25
Newcastle Centre,Newcastle,GB,pm25,7.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,54.97825,-1.610528,24.0
TIDEWATER COMM. COLL,Virginia Beach-Norfolk-Newport News,US,o3,0.045,2020-04-07 19:00:00 UTC,ppm,AirNow,36.9033,-76.4386,1.0
CAL-LASA - Caldas - Corporacion Universitaria Lasallista,Medellin,CO,pm25,15.0,2020-04-07 21:00:00 UTC,µg/m³,Medellin,6.0990806,-75.638626,1.0
Reading New Town,Reading,GB,no2,22.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.45309,-0.944067,1.0
Montevallo,Birmingham-Hoover,US,so2,0.0,2020-02-01 12:00:00 UTC,ppm,AirNow,33.0928,-86.8072,1.0
Plymouth Centre,Plymouth,GB,o3,82.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,50.37167,-4.142361,8.0
Floyd Dryden,JUNEAU,US,pm25,3.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,58.38889,-134.56555,1.0
Palomares,Cuevas Del Almanzora,ES,so2,13.0,2018-10-12 22:00:00 UTC,µg/m³,Andalucia,37.25497,-1.7817307,24.0
Changhua,Central,TW,pm25,11.0,2020-04-07 21:00:00 UTC,µg/m³,Taiwan,24.066,120.54151999999999,1.0
Victoria Memorial - WBPCB,Kolkata,IN,co,2130.0,2017-10-18 03:15:00 UTC,µg/m³,CPCB,22.572645,88.36389,0.25
Estación Cruz Roja,GUANAJUATO,MX,pm10,42.0,2020-04-03 16:00:00 UTC,µg/m³,AirNow,20.578557999999997,-101.19886,1.0
Manchester Sharston,Manchester,GB,o3,82.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,53.371306999999995,-2.239218,8.0
Natomas - Goldenland,SACRAMENTO,US,pm10,7.0,2017-06-01 17:00:00 UTC,µg/m³,AirNow,38.650715000000005,-121.50665,1.0
Seattle-Beacon Hill,Seattle-Tacoma-Bellevue,US,co,0.17,2020-04-07 19:00:00 UTC,ppm,AirNow,47.568236999999996,-122.308624,1.0
CHICOPEE,Springfield,US,co,0.25,2018-01-19 14:00:00 UTC,ppm,AirNow,42.1944,-72.5556,1.0
Bondville,Champaign-Urbana,US,co,0.1,2020-04-07 19:00:00 UTC,ppm,AirNow,40.0519,-88.3724,1.0
ES1658A,Huelva,ES,o3,65.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.27148,-6.92462,1.0
"MD University, Rohtak - HSPCB",Rohtak,IN,o3,27.54,2020-04-07 20:45:00 UTC,µg/m³,caaqm,28.52123,76.37138,0.25
"Zabrze, ul. M. Curie-Skłodowskiej 34",Zabrze,PL,pm10,110.118,2020-04-07 20:00:00 UTC,µg/m³,GIOS,50.3165,18.772375,
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",CAAQMS-Maharashtra Pollution Control Board,IN,pm25,985.0,2020-04-07 18:00:00 UTC,µg/m³,caaqm,19.10078,72.87462,0.25
Antakya,Hatay,TR,pm10,26.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,36.208027,36.15256,1.0
Carlsbad,Carlsbad-Artesia,US,o3,0.037000000000000005,2020-04-07 15:00:00 UTC,ppm,AirNow,32.38,-104.2622,1.0
Civitavecchia,Roma,IT,o3,92.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,42.09163,11.802466,1.0
"Żory, Os. Gen. Władysława Sikorskiego 52_(2)",Żory,PL,co,773.18,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.029415,18.689528,
Liberty Lake-E Valey,SPOKANE,US,pm25,6.6,2016-06-13 22:00:00 UTC,µg/m³,AirNow,47.66057,-117.0845,1.0
Athens Supersite,Athens,US,co,2.8,2016-08-11 14:00:00 UTC,ppm,AirNow,39.308,-82.1183,1.0
Sault Ste Marie,ONTARIO,CA,pm25,6.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,46.5331,-84.3094,1.0
Bunker Hill Village C562,Houston,US,o3,0.046,2016-03-06 19:00:00 UTC,ppm,Texas,29.778334,-95.538055,1.0
Newburyport,ESSEX,US,no2,0.004,2018-01-12 20:00:00 UTC,ppm,AirNow,42.814507,-70.81849,1.0
Douliu,Yun-Chia-Nan,TW,pm10,34.0,2020-04-07 21:00:00 UTC,µg/m³,Taiwan,23.711853,120.54498999999998,1.0
UH WG Jones Forest C698,Houston,US,co,0.2,2016-03-06 18:00:00 UTC,ppm,Texas,30.2362,-95.4832,1.0
Körfez-MTHM,Kocaeli,TR,o3,66.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,40.74604,29.7888,1.0
Grand Portage,COOK,US,pm25,5.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,47.9721,-89.6908,1.0
MMCA81038,CA8 - ARB,US,pm25,8.9,2020-03-09 17:00:00 UTC,µg/m³,AirNow,39.79336,-123.2695,1.0
White Sulphur Spring,MT1,US,pm25,-2.0,2017-10-13 07:00:00 UTC,µg/m³,AirNow,46.502903,-110.90626999999999,1.0
Vallejo,Vallejo-Fairfield,US,pm25,7.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.102509999999995,-122.237976,1.0
Laney College,San Francisco-Oakland-Fremont,US,bc,1.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,37.793625,-122.263374,1.0
"Ostrowiec Świętokrzyski, MOBILNA",Ostrowiec Świętokrzyski,PL,so2,10.88,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.946705,21.394491,
CAL-JOAR - Caldas - E U Joaquín Aristizabal,Caldas,CO,pm10,-9999.0,2020-04-07 21:00:00 UTC,µg/m³,Medellin,6.0930777,-75.637764,1.0
Hull Freetown,Hull,GB,pm10,25.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,53.748780000000004,-0.34122199999999997,24.0
London Marylebone Road,London,GB,so2,3.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.522529999999996,-0.154611,0.25
Mobile-White Salmon,KLICKITAT,US,pm25,3.0,2020-04-02 16:00:00 UTC,µg/m³,AirNow,45.735929999999996,-121.488396,1.0
תחנה:רעננה,צפון הנגב,IL,co,0.0,2019-04-03 21:00:00 UTC,ppm,Israel,30.98501,34.931999999999995,0.25
South Carroll,Baltimore-Towson,US,o3,0.043,2020-04-07 20:00:00 UTC,ppm,AirNow,39.4442,-77.0417,1.0
"Om Noi, Krathum Baen",Samut Sakhon,TH,o3,0.021,2020-04-07 20:00:00 UTC,ppm,Thailand,13.705459,100.315674,1.0
Acolman,MEXICO STATE,MX,no2,0.006999999999999999,2019-10-04 17:00:00 UTC,ppm,AirNow,19.6355,-98.912,1.0
Gävle Södra Kungsgatan,Gävle,SE,no2,32.025,2018-10-13 21:00:00 UTC,µg/m³,Sweden,60.67155,17.146915,1.0
Estación CICEG,GUANAJUATO,MX,o3,0.037000000000000005,2020-04-03 16:00:00 UTC,ppm,AirNow,21.10179,-101.6347,1.0
"Końskie, MOBILNA",Końskie,PL,co,315.45,2018-12-25 07:00:00 UTC,µg/m³,GIOS,51.189526,20.408892,
Sultangazi-MTHM,İstanbul,TR,so2,1.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.10197,28.872020000000003,1.0
MILWAUKEE SER DNR,Milwaukee-Waukesha-West Allis,US,pm25,13.1,2020-04-07 20:00:00 UTC,µg/m³,AirNow,43.0611,-87.9125,1.0
UNIONCROSS,Winston-Salem,US,o3,0.049,2020-04-07 20:00:00 UTC,ppm,AirNow,36.0508,-80.1439,1.0
"Tata Stadium, Jorapokhar - JSPCB",Jorapokhar,IN,o3,46.15,2020-04-07 22:00:00 UTC,µg/m³,caaqm,23.707909,86.41467,0.25
"Bielsko-Biała, ul. Kossak-Szczuckiej 19",Bielsko-Biała,PL,o3,47.4222,2020-04-07 21:00:00 UTC,µg/m³,GIOS,49.813465,19.027317,
Credit Union,Rapid City,US,pm25,0.2,2020-04-07 20:00:00 UTC,µg/m³,AirNow,44.0874,-103.27377,1.0
WHlthDpt,Wichita,US,pm10,12.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,37.7011,-97.3139,1.0
Spanish Fork,Provo-Orem,US,o3,0.05,2020-04-07 19:00:00 UTC,ppm,AirNow,40.1364,-111.6602,1.0
London Marylebone Road,London,GB,no2,62.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.522529999999996,-0.154611,1.0
Miami Town Site,GILA,US,so2,0.0,2020-04-07 20:00:00 UTC,ppm,AirNow,33.397434000000004,-110.87445,1.0
"Bangna, Bangna",Bangkok,TH,so2,0.0,2020-04-02 03:00:00 UTC,ppm,Thailand,13.666116,100.60574,1.0
Bridgeport,Bridgeport-Stamford-Norwalk,US,co,0.42,2020-01-07 12:00:00 UTC,ppm,AirNow,41.1714,-73.1953,1.0
,JACKSON,US,o3,0.013999999999999999,2017-10-05 13:00:00 UTC,ppm,AirNow,42.1941,-122.7086,1.0
SETRPC Port Arthur C,Beaumont-Port Arthur,US,o3,0.015,2016-06-29 13:00:00 UTC,ppm,AirNow,29.865,-93.955,1.0
ES2067A,Almería,ES,co,448.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.0047,-1.9344,1.0
Wuhu Ke Chuang Zhong Xin,Wuhu,CN,so2,10.0,2018-10-13 21:00:00 UTC,µg/m³,Wuhu,31.4189,118.37,1.0
Granica-KPN,Granica,PL,no2,12.5,2020-04-07 20:00:00 UTC,µg/m³,GIOS,52.28586,20.454653,
Gorzów Wlkp. ul. Kosynierów Gdyńskich,Gorzów Wielkopolski,PL,pm25,13.6624,2020-04-07 20:00:00 UTC,µg/m³,GIOS,52.738213,15.228667000000002,
Candor FRO,MONTGOMERY,US,pm25,16.0,2020-04-07 16:00:00 UTC,µg/m³,AirNow,35.263165,-79.83664,1.0
The Dalles - Cherry,City of The Dalles,US,pm25,4.2,2020-04-07 20:00:00 UTC,µg/m³,AirNow,45.60242,-121.20338400000001,1.0
6th District,Cleveland-Elyria-Mentor,US,o3,0.038,2020-04-07 20:00:00 UTC,ppm,AirNow,41.55523,-81.57526,1.0
Bournemouth,Bournemouth,GB,pm25,11.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,50.73957,-1.826744,24.0
Napa - Napa Valley C,Napa,US,pm25,0.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.27885,-122.275024,1.0
"Bang Phut, Pak Kret",Nonthaburi,TH,so2,0.021,2019-08-02 01:00:00 UTC,ppm,Thailand,13.907827,100.53565,1.0
Coastal Carolina,Myrtle Beach-Conway-North Myrtle Beach,US,o3,0.053,2020-04-07 20:00:00 UTC,ppm,AirNow,33.8005,-78.9941,1.0
"Kraków, ul. Bujaka",Kraków,PL,so2,5.97773,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.010574,19.949188,
Esenyurt-MTHM,İstanbul,TR,o3,33.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.02028,28.66955,1.0
"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,IN,pm25,52.7,2020-04-07 21:00:00 UTC,µg/m³,caaqm,26.833997999999998,80.89174,0.25
Ümraniye-MTHM,İstanbul,TR,no2,-1.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.02442,29.099729999999997,1.0
Sultangazi-MTHM,İstanbul,TR,no2,21.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.10197,28.872020000000003,1.0
"Vikas Sadan, Gurugram - HSPCB",Gurugram,IN,o3,50.77,2020-04-07 21:00:00 UTC,µg/m³,caaqm,28.450125,77.026306,0.25
"Bhopal Chauraha, Dewas - MPPCB",Govt. K.P. College,IN,pm25,60.0,2020-04-07 21:00:00 UTC,µg/m³,caaqm,22.96826,76.06411999999999,0.25
Legionowo-Zegrzyńska,Legionowo,PL,so2,4.1,2019-12-31 22:00:00 UTC,µg/m³,GIOS,52.407578,20.955929,
Shell Cut,Bishop,US,pm10,4.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,36.3663,-117.8976,1.0
Birmingham Tyburn Roadside,Birmingham,GB,pm25,15.0,2016-09-07 15:00:00 UTC,µg/m³,DEFRA,52.512195999999996,-1.830861,24.0
Clinton C403/C304/AH113,Houston,US,so2,-0.0001,2016-03-06 19:00:00 UTC,ppm,Texas,29.733727000000002,-95.25759000000001,1.0
"Rabindra Bharati University, Kolkata - WBPCB",Kolkata,IN,o3,128.02,2018-11-06 06:30:00 UTC,µg/m³,caaqm,22.582464,88.35725,0.25
תחנה:כביש 2 אולגה,מישור החוף הדרומי,IL,so2,0.0003,2019-04-03 21:00:00 UTC,ppm,Israel,31.645709999999998,34.67402,0.25
"Nowiny, ul. Parkowa",Nowiny,PL,pm10,73.63,2020-04-07 21:00:00 UTC,µg/m³,GIOS,50.82311,20.533506,
El Cajon - FSD,San Diego-Carlsbad-San Marcos,US,o3,0.049,2016-07-28 18:00:00 UTC,ppm,AirNow,32.817978000000004,-116.96813,1.0
Rivière-des-Prairies,,CA,o3,0.043,2020-04-07 20:00:00 UTC,ppm,AirNow,45.651722,-73.5739,1.0
Greenock A8 Roadside,Central Scotland,GB,pm25,8.0,2020-04-07 21:00:00 UTC,µg/m³,DEFRA,55.94408000000001,-4.734421,24.0
"General Hospital, Mandikhera - HSPCB",Al Afiya General Hospital,IN,o3,29.74,2020-04-07 19:00:00 UTC,µg/m³,caaqm,27.9002,76.9938,0.25
Reading New Town,Reading,GB,pm10,17.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.45309,-0.944067,24.0
HILAIRE,QUEBEC,CA,o3,0.039,2020-04-07 19:00:00 UTC,ppm,AirNow,45.8156,-70.8597,1.0
"Na An, Mueang",Loei,TH,o3,0.003,2019-08-01 23:00:00 UTC,ppm,Thailand,13.763936,100.529076,1.0
Ogden #2,Ogden-Clearfield,US,no2,0.006999999999999999,2019-06-06 14:00:00 UTC,ppm,AirNow,41.2064,-111.9752,1.0
Keller C17,Dallas-Fort Worth-Arlington,US,o3,0.037000000000000005,2020-04-07 20:00:00 UTC,ppm,AirNow,32.922497,-97.28209,1.0
El Cajon - Lexington,San Diego-Carlsbad-San Marcos,US,o3,0.027000000000000003,2020-04-07 20:00:00 UTC,ppm,AirNow,32.789562,-116.94422,1.0
Winegard Elementary,Orlando-Kissimmee,US,o3,0.03,2019-12-16 21:00:00 UTC,ppm,AirNow,28.4544,-81.3814,1.0
"Na Mueang, Mueang",Ratchaburi,TH,o3,0.002,2019-08-02 01:00:00 UTC,ppm,Thailand,13.532554999999999,99.81487,1.0
San Ysidro,San Diego-Carlsbad-San Marcos,US,pm25,10.2,2016-08-24 14:00:00 UTC,µg/m³,AirNow,32.54268,-117.03075,1.0
Yorkville,Atlanta-Sandy Springs-Marietta,US,o3,0.032,2016-11-08 14:00:00 UTC,ppm,AirNow,33.9283,-85.0453,1.0
Lompoc H Street,Santa Barbara-Santa Maria,US,pm10,8.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,34.6378,-120.4567,1.0
"Huda Sector, Fatehabad - HSPCB",Top Floor,IN,no2,5.18,2020-04-07 19:00:00 UTC,µg/m³,caaqm,29.503664,75.46793000000001,0.25
Sutter Buttes (seaso,SUTTER,US,o3,0.037000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,39.20556,-121.82046000000001,1.0
AM15 Malbork Mickiewicza,Malbork,PL,pm10,27.0601,2020-04-07 20:00:00 UTC,µg/m³,GIOS,54.031245999999996,19.0329,
"Sector-6, Panchkula - HSPCB ",Panchkula,IN,co,110.0,2020-04-07 21:00:00 UTC,µg/m³,caaqm,30.705778000000002,76.85318000000001,0.25
Cisco Drive,Jacksonville,US,o3,0.052000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,30.378165999999997,-81.84079,1.0
