location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
"RIMT University, Mandi Gobindgarh - PPCB",Mandi Gobindgarh,IN,pm25,0.0,2020-04-06 12:45:00 UTC,µg/m³,caaqm,30.649960999999998,76.33144,0.25
Soma,Manisa,TR,o3,14.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,39.181416,27.612913,1.0
Vårveien,Drammen,NO,pm25,11.1,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.753616,10.144397,1.0
Atakum,Samsun,TR,no2,45.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,41.325382,36.296597,1.0
Güzelyalı İBB,İzmir,TR,pm10,35.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,38.395832,27.082779,1.0
"Rabindra Sarobar, Kolkata - WBPCB",Kolkata,IN,co,190.0,2020-04-07 17:45:00 UTC,µg/m³,caaqm,22.51106,88.35141999999999,0.25
North OKC,Oklahoma City,US,so2,0.0,2020-04-07 20:00:00 UTC,ppm,AirNow,35.6128,-97.4722,1.0
Douliu,Yun-Chia-Nan,TW,no2,0.017,2020-04-07 21:00:00 UTC,ppm,Taiwan,23.711853,120.54498999999998,1.0
AM3 Gdańsk Nowy Port,Gdańsk,PL,pm10,10.5438,2020-04-07 20:00:00 UTC,µg/m³,GIOS,54.400833,18.657497,
Lubań - Mieszka II,Lubań,PL,pm10,122.72,2020-04-07 20:00:00 UTC,µg/m³,GIOS,51.119009999999996,15.275539000000002,
Dorset,ONTARIO,CA,o3,0.048,2020-04-07 19:00:00 UTC,ppm,AirNow,45.2211,-78.9314,1.0
Palmer,ANCHORAGE,US,pm10,25.0,2019-08-06 19:00:00 UTC,µg/m³,AirNow,61.599,-149.10399999999998,1.0
"Kariavattom, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,IN,co,300.0,2020-04-07 18:30:00 UTC,µg/m³,caaqm,8.5637,76.8865,0.25
ES0926A,Córdoba,ES,no2,1.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,38.10814,-4.9268,1.0
DEARBORN,Detroit-Warren-Livonia,US,pm10,20.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,42.3075,-83.15,1.0
Stoke-on-Trent A50 Roadside,Stoke-on-Trent,GB,no2,69.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,52.980433999999995,-2.111898,1.0
Chanute,NEOSHO,US,o3,0.040999999999999995,2020-04-07 20:00:00 UTC,ppm,AirNow,37.67696,-95.47594000000001,1.0
Hawthorne,Salt Lake City,US,o3,0.047,2020-04-07 19:00:00 UTC,ppm,AirNow,40.7335,-111.8717,1.0
Gajew,Gajew,PL,o3,66.4,2020-04-07 21:00:00 UTC,µg/m³,GIOS,52.14325,19.233225,
Dillon,MT1,US,pm25,2.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,45.206447999999995,-112.64251999999999,1.0
Concord,San Francisco-Oakland-Fremont,US,co,0.26,2020-04-07 19:00:00 UTC,ppm,AirNow,37.9383,-122.025,1.0
Legnica - Rzeczypospolitej,Legnica,PL,no2,21.835,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.204502000000005,16.180513,
Remount,Charlotte-Gastonia-Concord,US,pm25,10.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,35.21317,-80.874084,1.0
"Kraków, os. Wadów",Kraków,PL,pm10,40.7818,2020-04-07 20:00:00 UTC,µg/m³,GIOS,50.100570000000005,20.12256,
Punta Umbria,Punta Umbria,ES,no2,6.0,2018-10-12 22:00:00 UTC,µg/m³,Andalucia,37.18568,-6.9641366,1.0
Bekkestua,Bærum,NO,pm10,23.0,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.9181,10.5839,1.0
Leonessa,Rieti,IT,o3,96.0,2020-04-04 22:00:00 UTC,µg/m³,ARPALAZIO,42.572594,12.961982,1.0
Atascadero2,San Luis Obispo-Paso Robles,US,pm10,0.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,35.494556,-120.66621,1.0
Des Sables,QUEBEC,CA,o3,0.031,2020-04-07 19:00:00 UTC,ppm,AirNow,46.8214,-71.2208,1.0
"New Industrial Town, Faridabad - HSPCB",Faridabad,IN,pm25,31.66,2020-04-02 06:15:00 UTC,µg/m³,caaqm,28.39072,77.30059,0.25
"Vikas Sadan, Gurugram - HSPCB",Gurugram,IN,so2,8.12,2020-04-07 21:00:00 UTC,µg/m³,caaqm,28.450125,77.026306,0.25
Lone Pine Paiute/Sho,Bishop,US,pm25,6.6,2019-08-13 14:00:00 UTC,µg/m³,AirNow,36.5975,-118.04,1.0
